Population,Working_Population,School_Attendance,Alcohol,Income_Deprived,Employment_Deprived,Illness,Mortality,Drugs,Depress,lowBW,HospEmer,NoQuals,Crime,No_heating,Glasgow
904,605,86,103,7,7,60,67,28,12,0,80,53,89,1,0
830,491,83,33,7,5,40,86,40,15,3,98,96,48,0,0
694,519,88,54,5,3,45,43,33,13,6,70,39,58,1,0
573,354,94,142,5,6,65,88,49,15,4,88,80,NA,1,0
676,414,81,52,10,7,75,149,235,20,0,105,77,178,1,0
781,464,93,105,3,3,50,68,0,11,13,73,54,38,1,0
528,322,88,39,2,2,35,77,0,10,9,67,27,NA,2,0
697,354,94,60,3,3,55,137,0,21,0,77,40,NA,1,0
1131,710,95,9,1,1,25,86,0,11,5,65,19,44,0,0
791,491,97,6,1,1,35,61,0,10,0,59,15,51,0,0
572,377,90,26,2,3,30,35,55,8,0,43,24,87,0,0
1038,634,91,60,3,4,40,60,70,12,0,65,25,154,1,0
671,392,98,35,1,1,20,53,119,9,0,53,14,NA,0,0
904,546,96,50,2,2,30,73,41,8,5,56,29,NA,0,0
783,508,95,13,0,0,10,27,0,6,6,57,4,NA,0,0
772,520,93,19,1,1,15,61,0,8,0,51,18,91,0,0
628,379,96,17,0,1,15,65,0,6,0,58,16,NA,0,0
942,548,94,181,3,2,40,60,0,12,7,82,12,96,1,0
1017,584,87,69,10,11,85,119,35,15,11,65,70,79,1,0
849,456,94,42,3,4,50,64,90,12,6,63,14,NA,1,0
906,644,66,90,11,9,95,130,113,17,4,130,105,110,1,0
669,440,71,265,14,14,125,118,222,20,3,125,138,329,0,0
1056,732,81,105,9,6,85,101,71,13,12,95,85,246,1,0
889,641,74,76,9,5,65,132,25,14,7,83,84,394,4,0
794,565,63,132,12,11,105,123,129,18,8,111,129,290,3,0
975,670,64,121,14,11,115,104,312,17,6,135,151,380,1,0
804,448,93,25,4,3,55,79,0,16,3,66,25,274,1,0
772,522,90,30,1,1,15,47,0,11,0,57,14,91,0,0
975,637,90,20,1,1,25,81,0,10,0,58,21,123,2,0
