Population,Working_Population,School_Attendance,Alcohol,Income_Deprived,Employment_Deprived,Illness,Mortality,Drugs,Depress,lowBW,HospEmer,NoQuals,Crime,No_heating,Glasgow
634,424,88,31,7,5,80,205,0,21,14,98,100,142,8,1
905,608,76,339,38,27,195,138,254,24,11,147,202,487,3,1
872,562,70,158,26,24,190,121,0,24,10,132,205,368,1,1
884,586,82,54,11,8,110,98,31,19,0,87,147,57,3,1
928,650,70,120,30,20,200,161,84,23,13,128,219,410,1,1
779,538,91,7,2,3,30,33,0,12,8,60,71,77,1,1
699,444,69,173,37,25,235,155,225,21,6,132,197,315,1,1
1040,639,80,340,18,11,130,157,53,20,7,140,159,164,2,1
520,392,84,245,13,9,170,67,0,17,5,101,118,231,4,1
541,335,75,147,35,31,280,266,114,26,0,147,212,666,1,1
668,457,77,206,28,22,245,206,144,20,4,136,179,375,1,1
992,645,85,38,5,4,25,282,25,15,2,92,90,384,2,1
676,487,83,47,12,6,85,120,0,17,25,102,116,89,0,1
874,636,80,34,14,7,105,126,0,16,7,95,104,69,0,1
687,465,87,14,6,5,45,56,78,21,3,87,113,190,5,1
701,480,81,25,4,3,25,17,0,8,2,82,107,229,0,1
603,371,92,11,4,2,20,46,0,9,4,104,101,66,2,1
748,475,75,274,38,29,265,176,124,32,6,181,255,1526,1,1
669,412,66,533,35,30,190,68,326,22,9,122,256,719,1,1
542,380,71,276,26,24,170,170,261,20,6,136,203,795,10,1
832,464,72,254,33,25,225,141,175,27,3,165,227,385,1,1
572,344,61,421,43,28,255,153,247,23,0,154,230,1033,2,1
683,470,54,303,50,40,415,106,256,26,7,185,276,821,0,1
566,339,73,231,33,23,210,129,341,25,8,135,245,690,1,1
697,477,75,131,6,8,40,92,149,17,7,134,153,704,0,1
706,486,73,295,31,27,240,192,267,25,2,140,251,653,1,1
727,482,66,250,38,25,225,138,279,28,10,144,235,207,1,1
796,534,71,158,29,24,230,162,114,26,14,141,228,428,1,1
940,595,69,402,40,32,215,246,743,29,5,187,220,543,3,1
825,503,61,185,36,30,255,139,568,29,3,164,230,643,1,1
838,540,77,87,18,15,175,117,245,21,4,112,189,131,3,1
858,542,72,264,22,20,185,161,73,24,4,134,186,595,2,1
643,413,85,109,19,16,165,106,143,21,0,118,191,202,2,1
833,520,74,193,32,26,200,130,146,22,18,141,208,649,1,1
1022,739,88,14,3,2,25,78,0,13,2,110,83,118,1,1
907,594,86,119,10,8,95,72,63,16,4,87,93,55,1,1
533,378,92,176,2,3,30,49,211,15,6,77,69,94,0,1
817,582,92,35,4,4,60,23,35,14,0,61,65,74,0,1
782,493,87,37,5,4,70,66,38,15,9,80,103,38,2,1
772,531,84,38,8,6,85,86,0,15,0,78,90,311,1,1
705,507,87,34,4,4,60,81,40,11,13,70,75,NA,0,1
823,527,65,250,35,28,235,150,288,26,0,177,222,499,0,1
1057,715,79,228,22,18,185,144,216,21,6,139,164,227,2,1
883,547,72,178,23,21,190,115,291,22,4,135,207,193,1,1
1015,686,74,119,23,19,170,136,182,22,9,122,167,355,0,1
736,434,69,342,33,25,225,118,122,27,21,153,194,599,3,1
521,395,93,118,22,26,275,119,79,11,4,108,142,827,0,1
938,602,69,102,25,22,180,128,199,20,3,132,193,545,1,1
804,437,84,360,21,20,160,144,161,29,15,125,130,884,3,1
925,581,80,169,16,11,125,117,58,19,5,121,157,238,3,1
603,402,79,199,15,11,95,149,35,20,15,104,177,399,6,1
687,455,84,153,17,14,145,80,40,19,5,106,127,277,5,1
892,560,81,261,27,24,170,117,418,22,8,133,177,438,2,1
1045,668,71,298,26,23,210,108,196,27,5,141,183,220,3,1
734,433,80,191,21,21,190,106,379,26,8,125,149,368,1,1
837,482,74,266,41,27,195,88,305,23,8,131,207,311,3,1
834,533,83,139,12,11,125,54,221,20,4,114,116,444,3,1
678,458,84,222,19,17,150,83,155,21,6,105,127,251,2,1
699,484,83,250,8,7,90,75,75,18,3,88,116,272,4,1
686,419,83,189,19,19,145,80,299,21,13,127,143,321,2,1
891,505,75,39,6,7,75,75,46,19,0,76,81,191,1,1
683,374,87,256,15,13,135,124,52,20,4,112,99,381,2,1
978,629,85,254,16,14,145,140,95,19,0,117,96,492,2,1
647,399,82,31,12,11,100,62,47,18,5,90,92,294,2,1
489,298,81,34,15,9,100,112,56,15,0,89,115,143,3,1
713,430,75,252,24,21,175,187,363,24,8,136,202,239,1,1
957,571,79,92,19,15,165,102,29,16,4,120,183,220,1,1
1044,694,78,160,23,20,200,144,352,22,5,111,186,249,2,1
589,365,72,120,29,20,185,144,51,22,0,163,196,238,1,1
831,515,69,284,25,20,180,152,108,23,13,150,194,193,2,1
745,458,73,209,34,30,240,177,161,29,0,149,204,350,4,1
938,622,74,384,23,21,165,107,154,24,11,123,131,491,2,1
746,500,78,86,17,14,140,119,208,20,11,94,148,175,3,1
761,521,74,72,14,9,85,67,73,20,12,111,133,237,1,1
1006,641,78,158,16,10,120,108,60,19,4,114,101,259,2,1
506,337,83,161,12,14,145,523,406,21,0,114,129,1366,3,1
791,555,75,216,24,20,200,121,146,21,4,116,186,418,1,1
576,362,73,272,28,22,200,188,151,24,0,165,252,452,2,1
924,607,85,89,13,14,160,136,0,22,8,128,158,152,2,1
692,420,83,361,29,22,205,133,0,31,13,177,203,304,4,1
884,584,73,279,27,25,200,136,347,24,10,167,169,510,2,1
995,753,73,795,27,26,215,171,163,26,6,174,182,1007,4,1
920,557,76,167,24,24,210,139,705,28,3,130,196,229,1,1
879,594,78,472,28,24,180,171,159,23,3,145,143,490,4,1
688,511,69,450,35,31,245,206,304,23,2,143,186,917,3,1
731,496,67,670,41,37,305,207,1034,28,7,239,216,2028,1,1
843,603,68,543,40,35,275,124,505,26,6,261,218,1556,2,1
891,684,77,466,23,23,135,223,459,17,10,161,187,1428,5,1
1083,750,76,196,23,21,180,182,189,25,3,148,188,351,3,1
701,493,73,501,29,27,225,102,250,20,8,148,194,657,2,1
863,553,67,195,24,22,205,131,442,26,0,142,206,429,2,1
737,444,78,191,25,23,180,129,0,25,11,117,161,217,3,1
872,558,82,112,21,18,165,132,88,22,7,126,163,230,5,1
874,568,69,272,27,24,185,126,278,25,13,143,161,458,3,1
560,340,78,100,16,13,145,101,0,22,0,123,135,1109,1,1
830,521,78,171,15,15,160,142,111,22,9,111,147,133,1,1
871,567,86,222,22,19,180,185,31,23,10,125,184,92,1,1
571,397,86,80,14,14,135,100,149,21,13,100,86,70,1,1
631,400,87,161,17,12,135,74,107,16,10,99,141,365,2,1
881,555,82,129,16,13,160,98,35,20,5,106,119,193,1,1
769,508,79,91,16,11,135,98,39,19,11,115,118,195,1,1
1200,796,68,289,34,27,200,157,434,22,10,151,233,951,5,1
1023,654,68,295,36,32,260,187,312,28,5,175,221,724,5,1
1137,791,66,354,32,29,215,146,492,26,3,139,203,1004,5,1
1092,768,78,488,32,27,210,186,536,27,9,179,204,890,5,1
835,634,73,223,25,21,175,90,439,20,10,136,180,996,6,1
598,457,78,71,26,19,180,116,34,18,3,91,139,419,4,1
575,438,83,418,17,16,135,67,252,19,3,124,137,523,6,1
898,644,85,148,15,14,150,130,54,19,4,104,125,268,2,1
1072,861,82,95,15,10,140,156,100,18,0,114,76,551,3,1
723,547,81,104,15,8,115,244,82,15,12,97,94,471,9,1
528,435,80,44,14,10,100,98,28,11,9,100,102,493,9,1
631,463,73,203,20,14,135,129,198,16,4,158,156,1000,9,1
940,616,78,217,27,24,180,97,215,22,13,109,130,586,8,1
711,529,81,71,18,13,125,79,82,17,9,98,119,380,7,1
919,606,87,272,18,14,125,121,144,17,7,137,99,730,3,1
1040,670,78,196,19,19,135,78,114,19,16,106,100,366,3,1
815,523,77,210,32,18,185,105,231,14,7,149,204,393,0,1
545,354,71,137,32,21,135,135,301,14,11,110,160,919,10,1
960,626,84,35,7,6,80,69,0,13,6,66,53,125,1,1
717,487,77,123,24,14,155,63,119,16,11,130,194,475,4,1
888,575,88,10,5,3,40,87,36,11,7,58,51,102,1,1
826,535,76,45,13,5,90,101,0,11,7,103,104,73,3,1
509,374,65,0,20,10,110,129,0,13,10,120,211,492,4,1
1215,977,78,80,15,7,80,109,0,11,3,80,75,453,3,1
831,567,75,40,15,8,95,54,0,12,10,93,166,289,6,1
732,534,63,77,20,12,130,83,25,15,9,116,147,438,2,1
891,586,76,26,16,9,120,189,0,12,9,119,140,157,1,1
771,509,80,111,25,13,140,63,190,14,7,115,140,208,5,1
880,615,61,91,29,25,200,180,253,19,14,128,172,979,5,1
609,398,56,91,26,20,135,101,36,19,11,131,196,1118,10,1
785,550,61,191,24,16,145,132,73,14,7,116,146,1289,5,1
584,388,73,152,26,22,170,93,110,22,10,144,186,857,4,1
806,557,80,197,18,14,130,119,78,17,6,121,136,683,7,1
791,594,70,292,33,29,225,141,484,24,8,179,189,684,5,1
676,495,60,88,27,19,160,127,166,17,6,130,121,1407,7,1
860,573,70,202,29,27,220,128,210,23,9,112,187,745,4,1
762,550,60,331,31,30,245,161,144,27,12,140,173,670,6,1
1020,676,71,360,31,23,185,130,882,23,8,148,205,403,4,1
860,582,79,240,20,17,165,113,137,22,11,125,130,734,5,1
658,398,69,301,36,23,230,175,217,20,11,147,190,533,1,1
775,603,77,195,13,14,145,76,69,20,10,103,66,349,7,1
836,686,89,72,9,8,80,59,63,17,4,59,42,288,4,1
883,697,89,57,8,4,60,78,38,13,8,75,40,352,3,1
877,525,81,271,25,20,175,105,143,24,0,128,137,228,3,1
859,608,85,304,15,12,125,68,355,16,7,123,95,420,3,1
